,symbol,baseMean,FoldChange,log2FoldChange,lfcSE,stat,pvalue,padj,description
ENSRNOG00000000008,Alx4,5.71015297139351,0.352856022338926,-1.50284846161627,0.753225976783562,-1.99521592183233,0.0460193352472197,0.462855502263909,ALX homeobox 4
ENSRNOG00000000009,Tmco5b,4.88318316497261,1.95878297417239,0.96995756124518,0.404007655297982,2.40083955966075,0.0163575066237007,0.371198548259504,transmembrane and coiled-coil domains 5B
ENSRNOG00000000040,RGD1304622,289.319213854476,0.786374414467887,-0.346711712070491,0.176710006884613,-1.96203779391444,0.0497580842836406,0.468119432498722,similar to 6820428L09 protein
ENSRNOG00000000066,Fbxo28,1502.23135285345,1.11403301661905,0.155791990493664,0.0784627998113388,1.98555227277462,0.0470830604292219,0.46632369035719,F-box protein 28
ENSRNOG00000000105,Cplx2,19169.5104669203,0.75760110258318,-0.400489664437284,0.181054379708369,-2.21198551000184,0.0269676661461355,0.40783847217483,complexin 2
ENSRNOG00000000155,Cog3,1581.19831230857,1.1061153154435,0.145501798182178,0.0548049977048932,2.65490017836799,0.00793318803053525,0.335005546107546,component of oligomeric golgi complex 3
ENSRNOG00000000166,Apex2,276.252557227443,1.1549205340974,0.207793588431235,0.089772360021727,2.31467222629487,0.0206308768446697,0.388057260751092,apurinic/apyrimidinic endodeoxyribonuclease 2
ENSRNOG00000000167,Alas2,99.5184215611763,0.591374128354624,-0.757856965583544,0.31920267145077,-2.37421874365618,0.0175861285656216,0.374386231421784,5'-aminolevulinate synthase 2
ENSRNOG00000000195,Vwa5a,537.222488419965,0.864077659657642,-0.210767113322691,0.100375286275224,-2.09979090614774,0.035747238563374,0.432323542046097,von Willebrand factor A domain containing 5A
ENSRNOG00000000221,Abhd5,939.168937727563,0.889273928866935,-0.169300204578937,0.0748925749100096,-2.26057395919911,0.0237856518067205,0.392713103091757,abhydrolase domain containing 5, lysophosphatidic acid acyltransferase
ENSRNOG00000000248,Srsf2,4690.4172470931,1.11211689390773,0.153308436800396,0.0609677525615409,2.51458238756048,0.0119173454355894,0.34327703373823,serine and arginine rich splicing factor 2
ENSRNOG00000000303,Cep57l1,541.674408630822,1.13297919433762,0.180121368217973,0.0803698151062702,2.24115693161425,0.0250159115125336,0.39672703057371,centrosomal protein 57-like 1
ENSRNOG00000000368,Grik2,9216.27258077868,1.21870956548439,0.285354353719391,0.109308976031385,2.61052993157176,0.00904020604905355,0.342849315502737,glutamate ionotropic receptor kainate type subunit 2
ENSRNOG00000000394,Srgn,455.890417309875,0.780144574201753,-0.358186589942847,0.145016057248589,-2.46997881985466,0.013512105208328,0.35226269870909,serglycin
ENSRNOG00000000414,Cep85l,818.73692779796,1.15423046016497,0.206931309375184,0.0999775258919786,2.06977825795333,0.0384731143151989,0.443900674234465,centrosomal protein 85-like
ENSRNOG00000000438,Rnf5,1486.65563893801,0.874964173252627,-0.192704150089772,0.0970092080878821,-1.9864521511731,0.0469831408159822,0.46632369035719,ring finger protein 5
