setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HP_ABNORMAL_ANATOMIC_LOCATION_OF_THE_HEART	108	0.604704433093327	2.68962677984772	2.2610603777152e-15	7.88431753709289e-12	7.24967359002157e-12	3370	tags=53%, list=18%, signal=43%	ENSRNOG00000016187/ENSRNOG00000011829/ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000057867/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000047194/ENSRNOG00000048363/ENSRNOG00000013969/ENSRNOG00000008244/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000009208/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000042118/ENSRNOG00000017035/ENSRNOG00000008632/ENSRNOG00000028274/ENSRNOG00000017473/ENSRNOG00000021718/ENSRNOG00000059715/ENSRNOG00000056458/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000052704/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000057862/ENSRNOG00000002146/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000012866/ENSRNOG00000005451/ENSRNOG00000009661/ENSRNOG00000004542/ENSRNOG00000028523/ENSRNOG00000025418/ENSRNOG00000015602/ENSRNOG00000019039/ENSRNOG00000023309/ENSRNOG00000002839/ENSRNOG00000034240/ENSRNOG00000026964/ENSRNOG00000007391/ENSRNOG00000024085/ENSRNOG00000002462/ENSRNOG00000005883/ENSRNOG00000004574
HP_FEMALE_INFERTILITY	52	0.7029809059742	2.70849356249613	1.21497306942011e-12	1.89131401925712e-09	1.73907370312504e-09	1981	tags=54%, list=11%, signal=48%	ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000048363/ENSRNOG00000043410/ENSRNOG00000026446/ENSRNOG00000008595/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000017473/ENSRNOG00000026579/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000000196/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000005451
HP_SUPERNUMERARY_SPLEENS	77	0.62322312853891	2.60784325654043	1.62717007679132e-12	1.89131401925712e-09	1.73907370312504e-09	2124	tags=48%, list=11%, signal=43%	ENSRNOG00000016187/ENSRNOG00000011829/ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000048363/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000028274/ENSRNOG00000017473/ENSRNOG00000021718/ENSRNOG00000059715/ENSRNOG00000003388/ENSRNOG00000056458/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000052704/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000012629/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000058916/ENSRNOG00000015921/ENSRNOG00000024905/ENSRNOG00000011789/ENSRNOG00000005451/ENSRNOG00000028523
HP_ABNORMAL_SPERM_MOTILITY	64	0.657409328954554	2.64064595355548	2.21928741226466e-12	1.93466380164171e-09	1.77893406783109e-09	2831	tags=61%, list=15%, signal=52%	ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000056996/ENSRNOG00000021109/ENSRNOG00000006114/ENSRNOG00000052688/ENSRNOG00000021602/ENSRNOG00000002073/ENSRNOG00000058275/ENSRNOG00000048363/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000026217/ENSRNOG00000049596/ENSRNOG00000017473/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000014845/ENSRNOG00000002976/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000057862/ENSRNOG00000002146/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000005451/ENSRNOG00000037835/ENSRNOG00000024557/ENSRNOG00000026964/ENSRNOG00000016364/ENSRNOG00000002598
HP_DECREASED_FERTILITY_IN_FEMALES	67	0.637416766153792	2.578524210643	1.29638334557976e-11	9.04097745207324e-09	8.31322878028621e-09	1981	tags=43%, list=11%, signal=39%	ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000048363/ENSRNOG00000043410/ENSRNOG00000026446/ENSRNOG00000012682/ENSRNOG00000008595/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000017473/ENSRNOG00000026579/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000000196/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000005451
HP_CHRONIC_RHINITIS	45	0.701828740881084	2.6695634592462	3.85439263795041e-11	2.24004452142218e-08	2.05973332898192e-08	1981	tags=56%, list=11%, signal=50%	ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000048363/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000017473/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000005451
HP_NASAL_CONGESTION	47	0.690690270390353	2.63907888544684	6.08978957589894e-11	3.03358517873709e-08	2.789398353111e-08	1981	tags=53%, list=11%, signal=48%	ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000048363/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000017473/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000005451
HP_POLYSPLENIA	51	0.668600252321914	2.56631137829795	1.21770995376374e-10	5.30769326096769e-08	4.88045331468992e-08	1981	tags=53%, list=11%, signal=47%	ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000048363/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000017473/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000012629/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000011789/ENSRNOG00000005451
HP_ABNORMAL_ATRIAL_ARRANGEMENT	42	0.70864567424284	2.65538750626903	1.85578634792048e-10	7.19014110577635e-08	6.61137452136349e-08	1981	tags=60%, list=11%, signal=53%	ENSRNOG00000011440/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000048363/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000004171/ENSRNOG00000013734/ENSRNOG00000017473/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000049696/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000005451
HP_RETINAL_DYSTROPHY	306	0.39626286554051	2.01693958931558	2.24423952698935e-10	7.82566323061186e-08	7.1957406307469e-08	4539	tags=40%, list=24%, signal=30%	ENSRNOG00000042477/ENSRNOG00000016187/ENSRNOG00000011829/ENSRNOG00000009318/ENSRNOG00000011440/ENSRNOG00000024468/ENSRNOG00000054900/ENSRNOG00000018905/ENSRNOG00000059401/ENSRNOG00000001622/ENSRNOG00000021109/ENSRNOG00000021602/ENSRNOG00000015101/ENSRNOG00000058275/ENSRNOG00000012396/ENSRNOG00000012729/ENSRNOG00000048363/ENSRNOG00000025286/ENSRNOG00000013969/ENSRNOG00000032946/ENSRNOG00000008244/ENSRNOG00000043410/ENSRNOG00000008595/ENSRNOG00000010348/ENSRNOG00000047019/ENSRNOG00000004171/ENSRNOG00000004181/ENSRNOG00000025141/ENSRNOG00000013734/ENSRNOG00000029456/ENSRNOG00000010453/ENSRNOG00000017035/ENSRNOG00000019305/ENSRNOG00000008632/ENSRNOG00000019103/ENSRNOG00000017473/ENSRNOG00000002932/ENSRNOG00000021718/ENSRNOG00000026171/ENSRNOG00000059715/ENSRNOG00000004342/ENSRNOG00000056458/ENSRNOG00000017178/ENSRNOG00000016913/ENSRNOG00000015590/ENSRNOG00000018762/ENSRNOG00000015816/ENSRNOG00000009881/ENSRNOG00000008807/ENSRNOG00000003013/ENSRNOG00000038600/ENSRNOG00000000606/ENSRNOG00000007127/ENSRNOG00000057862/ENSRNOG00000025629/ENSRNOG00000024523/ENSRNOG00000056553/ENSRNOG00000025991/ENSRNOG00000030212/ENSRNOG00000049696/ENSRNOG00000038868/ENSRNOG00000013641/ENSRNOG00000017744/ENSRNOG00000066548/ENSRNOG00000024450/ENSRNOG00000058916/ENSRNOG00000024905/ENSRNOG00000010418/ENSRNOG00000005330/ENSRNOG00000005451/ENSRNOG00000004542/ENSRNOG00000025418/ENSRNOG00000009582/ENSRNOG00000011144/ENSRNOG00000016545/ENSRNOG00000019039/ENSRNOG00000056184/ENSRNOG00000065659/ENSRNOG00000002839/ENSRNOG00000001700/ENSRNOG00000026964/ENSRNOG00000001256/ENSRNOG00000021712/ENSRNOG00000053599/ENSRNOG00000053400/ENSRNOG00000018909/ENSRNOG00000024085/ENSRNOG00000001689/ENSRNOG00000061097/ENSRNOG00000015189/ENSRNOG00000024012/ENSRNOG00000006199/ENSRNOG00000049633/ENSRNOG00000005883/ENSRNOG00000004574/ENSRNOG00000051498/ENSRNOG00000012146/ENSRNOG00000012322/ENSRNOG00000010078/ENSRNOG00000008075/ENSRNOG00000019659/ENSRNOG00000029707/ENSRNOG00000002615/ENSRNOG00000000977/ENSRNOG00000003738/ENSRNOG00000019474/ENSRNOG00000003553/ENSRNOG00000009045/ENSRNOG00000022343/ENSRNOG00000031033/ENSRNOG00000013252/ENSRNOG00000009799/ENSRNOG00000016306/ENSRNOG00000015756/ENSRNOG00000030644/ENSRNOG00000009968/ENSRNOG00000048978/ENSRNOG00000017642/ENSRNOG00000012409/ENSRNOG00000009646/ENSRNOG00000017589
