category	ID	term	count	gene	logFC	adj_pval	magma_score
GOCC	GOCC_POSTSYNAPTIC_DENSITY_MEMBRANE	GOCC_POSTSYNAPTIC_DENSITY_MEMBRANE	84	ENSRNOG00000008766/ENSRNOG00000065255/ENSRNOG00000045816/ENSRNOG00000063400/ENSRNOG00000057848/ENSRNOG00000011803/ENSRNOG00000055499/ENSRNOG00000014290/ENSRNOG00000007090/ENSRNOG00000026466/ENSRNOG00000033099/ENSRNOG00000029012/ENSRNOG00000016429/ENSRNOG00000005550/ENSRNOG00000042478/ENSRNOG00000005723/ENSRNOG00000016872/ENSRNOG00000028832/ENSRNOG00000047247/ENSRNOG00000014006/ENSRNOG00000014248/ENSRNOG00000020310/ENSRNOG00000029798/ENSRNOG00000033942/ENSRNOG00000018385/ENSRNOG00000009029/ENSRNOG00000019356/ENSRNOG00000022635/ENSRNOG00000031536/ENSRNOG00000006174/ENSRNOG00000064362/ENSRNOG00000011156/ENSRNOG00000004067/ENSRNOG00000043085	2.184.735.942	7,52E+08	0.000064975
HPO	HP_LARGE_FACE	HP_LARGE_FACE	255	ENSRNOG00000008620/ENSRNOG00000005985/ENSRNOG00000020372/ENSRNOG00000060615/ENSRNOG00000012559/ENSRNOG00000042118/ENSRNOG00000013969/ENSRNOG00000001888/ENSRNOG00000020205/ENSRNOG00000008533/ENSRNOG00000042536/ENSRNOG00000010572/ENSRNOG00000014027/ENSRNOG00000004150/ENSRNOG00000016187/ENSRNOG00000030759/ENSRNOG00000030101/ENSRNOG00000028523/ENSRNOG00000021718/ENSRNOG00000011387/ENSRNOG00000013933/ENSRNOG00000069271/ENSRNOG00000030017/ENSRNOG00000007302/ENSRNOG00000007688/ENSRNOG00000070542/ENSRNOG00000016208/ENSRNOG00000043192/ENSRNOG00000010176/ENSRNOG00000049221/ENSRNOG00000010957/ENSRNOG00000001236/ENSRNOG00000000648/ENSRNOG00000001849/ENSRNOG00000003848/ENSRNOG00000014576/ENSRNOG00000001408/ENSRNOG00000061603/ENSRNOG00000011829/ENSRNOG00000012568/ENSRNOG00000020557/ENSRNOG00000011348/ENSRNOG00000011073/ENSRNOG00000006957/ENSRNOG00000008244/ENSRNOG00000000043/ENSRNOG00000024503/ENSRNOG00000025418/ENSRNOG00000011208/ENSRNOG00000059715/ENSRNOG00000002832/ENSRNOG00000002914/ENSRNOG00000004591/ENSRNOG00000022391/ENSRNOG00000045770/ENSRNOG00000002708/ENSRNOG00000013780/ENSRNOG00000024085/ENSRNOG00000052840/ENSRNOG00000008996/ENSRNOG00000008637/ENSRNOG00000011904/ENSRNOG00000007486/ENSRNOG00000002291/ENSRNOG00000009208/ENSRNOG00000024525/ENSRNOG00000051671	1.631.240.518	0.00294495	0.00013041
GOBP	GOBP_CALCIUM_ION_IMPORT	GOBP_CALCIUM_ION_IMPORT	60	ENSRNOG00000006729/ENSRNOG00000033531/ENSRNOG00000013147/ENSRNOG00000002863/ENSRNOG00000007090/ENSRNOG00000011133/ENSRNOG00000004560/ENSRNOG00000033893/ENSRNOG00000061527/ENSRNOG00000018378/ENSRNOG00000060528/ENSRNOG00000001492/ENSRNOG00000019486/ENSRNOG00000066120/ENSRNOG00000020424/ENSRNOG00000017988/ENSRNOG00000029871/ENSRNOG00000055917/ENSRNOG00000043436/ENSRNOG00000053766/ENSRNOG00000003104/ENSRNOG00000045920/ENSRNOG00000002146/ENSRNOG00000011168	0.473272722	4,45E+09	0.00017994
GOBP	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	22	ENSRNOG00000049491/ENSRNOG00000066773/ENSRNOG00000000457/ENSRNOG00000006963/ENSRNOG00000018735/ENSRNOG00000021157/ENSRNOG00000046452/ENSRNOG00000018566/ENSRNOG00000007649/ENSRNOG00000007089/ENSRNOG00000024159/ENSRNOG00000019387/ENSRNOG00000017123	-0.625501882	0.000559279	0.00021309
HPO	HP_OPEN_MOUTH	HP_OPEN_MOUTH	99	ENSRNOG00000060615/ENSRNOG00000013969/ENSRNOG00000008533/ENSRNOG00000042536/ENSRNOG00000010572/ENSRNOG00000014528/ENSRNOG00000012146/ENSRNOG00000010680/ENSRNOG00000001886/ENSRNOG00000011387/ENSRNOG00000000593/ENSRNOG00000025285/ENSRNOG00000015325/ENSRNOG00000015383/ENSRNOG00000007682/ENSRNOG00000017105/ENSRNOG00000042478/ENSRNOG00000010957/ENSRNOG00000003848/ENSRNOG00000027869/ENSRNOG00000024801/ENSRNOG00000019584/ENSRNOG00000033134/ENSRNOG00000024085/ENSRNOG00000008637/ENSRNOG00000021589/ENSRNOG00000028362/ENSRNOG00000003359/ENSRNOG00000066252/ENSRNOG00000006632/ENSRNOG00000018931/ENSRNOG00000027596/ENSRNOG00000053599/ENSRNOG00000010158/ENSRNOG00000011891/ENSRNOG00000014866/ENSRNOG00000060144/ENSRNOG00000003875/ENSRNOG00000004676/ENSRNOG00000001120/ENSRNOG00000009265/ENSRNOG00000052204/ENSRNOG00000030034/ENSRNOG00000009615/ENSRNOG00000000879/ENSRNOG00000009184/ENSRNOG00000061814/ENSRNOG00000009585/ENSRNOG00000002983/ENSRNOG00000049281/ENSRNOG00000004234/ENSRNOG00000012405	1.635.196.668	0.032152079	0.00025505
GOCC	GOCC_NEURON_TO_NEURON_SYNAPSE	GOCC_NEURON_TO_NEURON_SYNAPSE	338	ENSRNOG00000019161/ENSRNOG00000054371/ENSRNOG00000006784/ENSRNOG00000039544/ENSRNOG00000014686/ENSRNOG00000008766/ENSRNOG00000017155/ENSRNOG00000026866/ENSRNOG00000000368/ENSRNOG00000017660/ENSRNOG00000065255/ENSRNOG00000045816/ENSRNOG00000010911/ENSRNOG00000063400/ENSRNOG00000004013/ENSRNOG00000033881/ENSRNOG00000009253/ENSRNOG00000009726/ENSRNOG00000014816/ENSRNOG00000012573/ENSRNOG00000028879/ENSRNOG00000057848/ENSRNOG00000011803/ENSRNOG00000055499/ENSRNOG00000014290/ENSRNOG00000007894/ENSRNOG00000007090/ENSRNOG00000026466/ENSRNOG00000026704/ENSRNOG00000019779/ENSRNOG00000002751/ENSRNOG00000012422/ENSRNOG00000055547/ENSRNOG00000020302/ENSRNOG00000008747/ENSRNOG00000013064/ENSRNOG00000026705/ENSRNOG00000026432/ENSRNOG00000011980/ENSRNOG00000004049/ENSRNOG00000033099/ENSRNOG00000005662/ENSRNOG00000028733/ENSRNOG00000014170/ENSRNOG00000015616/ENSRNOG00000029012/ENSRNOG00000016429/ENSRNOG00000001492/ENSRNOG00000005550/ENSRNOG00000042478/ENSRNOG00000021231/ENSRNOG00000013351/ENSRNOG00000005723/ENSRNOG00000016872/ENSRNOG00000028832/ENSRNOG00000047247/ENSRNOG00000019423/ENSRNOG00000014006/ENSRNOG00000008157/ENSRNOG00000011507/ENSRNOG00000014248/ENSRNOG00000020310/ENSRNOG00000001706/ENSRNOG00000067416/ENSRNOG00000021781/ENSRNOG00000029798/ENSRNOG00000032576/ENSRNOG00000033942/ENSRNOG00000018385/ENSRNOG00000009029/ENSRNOG00000019356/ENSRNOG00000029871/ENSRNOG00000054955/ENSRNOG00000004890/ENSRNOG00000059683/ENSRNOG00000022635/ENSRNOG00000033169/ENSRNOG00000031536/ENSRNOG00000006174/ENSRNOG00000064362/ENSRNOG00000007485/ENSRNOG00000007456/ENSRNOG00000011156/ENSRNOG00000018778/ENSRNOG00000004067/ENSRNOG00000001130/ENSRNOG00000043085/ENSRNOG00000013962	1.697.317.502	1,46E+08	0.00025562
GOBP	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	27	ENSRNOG00000049491/ENSRNOG00000066773/ENSRNOG00000000457/ENSRNOG00000019041/ENSRNOG00000006963/ENSRNOG00000018735/ENSRNOG00000003522/ENSRNOG00000021157/ENSRNOG00000046452/ENSRNOG00000018566/ENSRNOG00000007649/ENSRNOG00000007089/ENSRNOG00000024159/ENSRNOG00000019387/ENSRNOG00000017123	-0.607161628	0.000158047	0.00028002
GOCC	GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	105	ENSRNOG00000014686/ENSRNOG00000008766/ENSRNOG00000065255/ENSRNOG00000045816/ENSRNOG00000063400/ENSRNOG00000057848/ENSRNOG00000011803/ENSRNOG00000055499/ENSRNOG00000014290/ENSRNOG00000007090/ENSRNOG00000026466/ENSRNOG00000002349/ENSRNOG00000002336/ENSRNOG00000033099/ENSRNOG00000029012/ENSRNOG00000016429/ENSRNOG00000005550/ENSRNOG00000042478/ENSRNOG00000005723/ENSRNOG00000016872/ENSRNOG00000028832/ENSRNOG00000047247/ENSRNOG00000014006/ENSRNOG00000014248/ENSRNOG00000020310/ENSRNOG00000067416/ENSRNOG00000029798/ENSRNOG00000032576/ENSRNOG00000006093/ENSRNOG00000011208/ENSRNOG00000033942/ENSRNOG00000018385/ENSRNOG00000009029/ENSRNOG00000019356/ENSRNOG00000022635/ENSRNOG00000031536/ENSRNOG00000006174/ENSRNOG00000064362/ENSRNOG00000011156/ENSRNOG00000004067/ENSRNOG00000043085	2.340.805.848	1,83E+07	0.00055709
GOCC	GOCC_POSTSYNAPTIC_MEMBRANE	GOCC_POSTSYNAPTIC_MEMBRANE	244	ENSRNOG00000005985/ENSRNOG00000018674/ENSRNOG00000006784/ENSRNOG00000039544/ENSRNOG00000014686/ENSRNOG00000008766/ENSRNOG00000010853/ENSRNOG00000000368/ENSRNOG00000065255/ENSRNOG00000045816/ENSRNOG00000063400/ENSRNOG00000004013/ENSRNOG00000009253/ENSRNOG00000009726/ENSRNOG00000013101/ENSRNOG00000060599/ENSRNOG00000057848/ENSRNOG00000011803/ENSRNOG00000055499/ENSRNOG00000014290/ENSRNOG00000014862/ENSRNOG00000007090/ENSRNOG00000016062/ENSRNOG00000026466/ENSRNOG00000002349/ENSRNOG00000002336/ENSRNOG00000006595/ENSRNOG00000033099/ENSRNOG00000005662/ENSRNOG00000014170/ENSRNOG00000010744/ENSRNOG00000029012/ENSRNOG00000016429/ENSRNOG00000007682/ENSRNOG00000005550/ENSRNOG00000042478/ENSRNOG00000019486/ENSRNOG00000005723/ENSRNOG00000069221/ENSRNOG00000046366/ENSRNOG00000002327/ENSRNOG00000016872/ENSRNOG00000028832/ENSRNOG00000047247/ENSRNOG00000014006/ENSRNOG00000014248/ENSRNOG00000020310/ENSRNOG00000067416/ENSRNOG00000029798/ENSRNOG00000006957/ENSRNOG00000013869/ENSRNOG00000032576/ENSRNOG00000006093/ENSRNOG00000011208/ENSRNOG00000033942/ENSRNOG00000002660/ENSRNOG00000018385/ENSRNOG00000027341/ENSRNOG00000009029/ENSRNOG00000019356/ENSRNOG00000008992/ENSRNOG00000055401/ENSRNOG00000049792/ENSRNOG00000005700/ENSRNOG00000022635/ENSRNOG00000031232/ENSRNOG00000062002/ENSRNOG00000031536/ENSRNOG00000006174/ENSRNOG00000064362/ENSRNOG00000011156/ENSRNOG00000004067/ENSRNOG00000043085/ENSRNOG00000011904/ENSRNOG00000011076/ENSRNOG00000001575/ENSRNOG00000017556	2.026.440.048	5,15E+06	0.00057066
GOBP	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	343	ENSRNOG00000006729/ENSRNOG00000005985/ENSRNOG00000055382/ENSRNOG00000014686/ENSRNOG00000008766/ENSRNOG00000010853/ENSRNOG00000001825/ENSRNOG00000000368/ENSRNOG00000001557/ENSRNOG00000033531/ENSRNOG00000045816/ENSRNOG00000017060/ENSRNOG00000013147/ENSRNOG00000010911/ENSRNOG00000033881/ENSRNOG00000008237/ENSRNOG00000016917/ENSRNOG00000000875/ENSRNOG00000060599/ENSRNOG00000028879/ENSRNOG00000055499/ENSRNOG00000014290/ENSRNOG00000014862/ENSRNOG00000007090/ENSRNOG00000016062/ENSRNOG00000003813/ENSRNOG00000006639/ENSRNOG00000009450/ENSRNOG00000055547/ENSRNOG00000020138/ENSRNOG00000038784/ENSRNOG00000002349/ENSRNOG00000033893/ENSRNOG00000002336/ENSRNOG00000006595/ENSRNOG00000008223/ENSRNOG00000027233/ENSRNOG00000013802/ENSRNOG00000029811/ENSRNOG00000004049/ENSRNOG00000018378/ENSRNOG00000001931/ENSRNOG00000016429/ENSRNOG00000007682/ENSRNOG00000060528/ENSRNOG00000001492/ENSRNOG00000032414/ENSRNOG00000003084/ENSRNOG00000019486/ENSRNOG00000005723/ENSRNOG00000046366/ENSRNOG00000002327/ENSRNOG00000017610/ENSRNOG00000005007/ENSRNOG00000019423/ENSRNOG00000014006/ENSRNOG00000020310/ENSRNOG00000016110/ENSRNOG00000067416/ENSRNOG00000032576/ENSRNOG00000047143/ENSRNOG00000016675/ENSRNOG00000058308/ENSRNOG00000033942/ENSRNOG00000005309/ENSRNOG00000029735/ENSRNOG00000018385/ENSRNOG00000021441/ENSRNOG00000008992/ENSRNOG00000039969/ENSRNOG00000029871/ENSRNOG00000007744/ENSRNOG00000017833/ENSRNOG00000055401/ENSRNOG00000049792/ENSRNOG00000019752/ENSRNOG00000021234/ENSRNOG00000004752/ENSRNOG00000059683/ENSRNOG00000033134/ENSRNOG00000004048	0.293517536	1,06E+09	0.00086726
