category	ID	term	count	gene	logFC	adj_pval	magma_score
HPO	HP_ABNORMAL_SPERM_TAIL_MORPHOLOGY	HP_ABNORMAL_SPERM_TAIL_MORPHOLOGY	15	ENSRNOG00000006114/ENSRNOG00000058275/ENSRNOG00000056996/ENSRNOG00000007046/ENSRNOG00000052688/ENSRNOG00000026217/ENSRNOG00000002976/ENSRNOG00000037835	198,662,116,276,853	0.009688089	2.64E-02
HPO	HP_COILED_SPERM_FLAGELLA	HP_COILED_SPERM_FLAGELLA	12	ENSRNOG00000006114/ENSRNOG00000058275/ENSRNOG00000056996/ENSRNOG00000052688/ENSRNOG00000026217/ENSRNOG00000002976/ENSRNOG00000037835	201,077,044,944,477	0.009940088	3.00E-02
HPO	HP_LARGE_FACE	HP_LARGE_FACE	264	ENSRNOG00000016187/ENSRNOG00000013969/ENSRNOG00000042118/ENSRNOG00000011348/ENSRNOG00000011829/ENSRNOG00000014027/ENSRNOG00000043192/ENSRNOG00000010572/ENSRNOG00000020372/ENSRNOG00000021718/ENSRNOG00000009867/ENSRNOG00000008244/ENSRNOG00000000648/ENSRNOG00000028523/ENSRNOG00000002708/ENSRNOG00000009208/ENSRNOG00000011208/ENSRNOG00000042536/ENSRNOG00000022391/ENSRNOG00000059715/ENSRNOG00000047194/ENSRNOG00000003848/ENSRNOG00000025181/ENSRNOG00000025418/ENSRNOG00000006957/ENSRNOG00000060615/ENSRNOG00000030017/ENSRNOG00000024525/ENSRNOG00000029966/ENSRNOG00000030759/ENSRNOG00000024503/ENSRNOG00000012705/ENSRNOG00000069271/ENSRNOG00000030101/ENSRNOG00000017035/ENSRNOG00000007688/ENSRNOG00000005985/ENSRNOG00000002291/ENSRNOG00000024085/ENSRNOG00000004591/ENSRNOG00000070542/ENSRNOG00000013933/ENSRNOG00000004150/ENSRNOG00000010957/ENSRNOG00000020557/ENSRNOG00000003777/ENSRNOG00000003875/ENSRNOG00000008533/ENSRNOG00000056458/ENSRNOG00000006792/ENSRNOG00000021614/ENSRNOG00000000043/ENSRNOG00000045918/ENSRNOG00000007461/ENSRNOG00000011908/ENSRNOG00000052704/ENSRNOG00000011553/ENSRNOG00000002615/ENSRNOG00000014576/ENSRNOG00000047296/ENSRNOG00000061603/ENSRNOG00000010188/ENSRNOG00000060542/ENSRNOG00000012472/ENSRNOG00000008620/ENSRNOG00000015756/ENSRNOG00000008996/ENSRNOG00000012568/ENSRNOG00000061367/ENSRNOG00000020205/ENSRNOG00000019039/ENSRNOG00000008635/ENSRNOG00000053234/ENSRNOG00000034240/ENSRNOG00000016172/ENSRNOG00000004574/ENSRNOG00000013780/ENSRNOG00000005076/ENSRNOG00000008637/ENSRNOG00000052840/ENSRNOG00000011619/ENSRNOG00000013322/ENSRNOG00000007404/ENSRNOG00000017960	181,445,803,079,451	4,76E+09	0.00013041
GOBP	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	23	ENSRNOG00000019708/ENSRNOG00000000457/ENSRNOG00000007089/ENSRNOG00000066773/ENSRNOG00000017123/ENSRNOG00000046452/ENSRNOG00000020206/ENSRNOG00000006963/ENSRNOG00000019387/ENSRNOG00000049491/ENSRNOG00000033215/ENSRNOG00000018735/ENSRNOG00000018566/ENSRNOG00000021157	-231,166,119,684,742	6,39E+09	0.00021309
HPO	HP_OPEN_MOUTH	HP_OPEN_MOUTH	101	ENSRNOG00000013969/ENSRNOG00000000593/ENSRNOG00000010572/ENSRNOG00000015325/ENSRNOG00000042536/ENSRNOG00000014528/ENSRNOG00000003848/ENSRNOG00000060615/ENSRNOG00000012146/ENSRNOG00000015383/ENSRNOG00000027596/ENSRNOG00000060144/ENSRNOG00000010680/ENSRNOG00000024085/ENSRNOG00000003359/ENSRNOG00000053599/ENSRNOG00000006632/ENSRNOG00000001886/ENSRNOG00000017105/ENSRNOG00000014866/ENSRNOG00000010957/ENSRNOG00000025285/ENSRNOG00000042478/ENSRNOG00000003875/ENSRNOG00000008533/ENSRNOG00000007682/ENSRNOG00000027869/ENSRNOG00000018931/ENSRNOG00000019039/ENSRNOG00000004676/ENSRNOG00000008637/ENSRNOG00000017960/ENSRNOG00000066252/ENSRNOG00000009184	162,079,821,169,189	0.036700341	0.00025505
GOBP	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	28	ENSRNOG00000019708/ENSRNOG00000000457/ENSRNOG00000016451/ENSRNOG00000007089/ENSRNOG00000066773/ENSRNOG00000017123/ENSRNOG00000046452/ENSRNOG00000020206/ENSRNOG00000019041/ENSRNOG00000006963/ENSRNOG00000019387/ENSRNOG00000049491/ENSRNOG00000033215/ENSRNOG00000018735/ENSRNOG00000018566/ENSRNOG00000021157	-237,458,629,428,092	2,93E+09	0.00028002
GOCC	GOCC_9PLUS2_MOTILE_CILIUM	GOCC_9PLUS2_MOTILE_CILIUM	112	ENSRNOG00000006114/ENSRNOG00000011440/ENSRNOG00000018631/ENSRNOG00000058275/ENSRNOG00000004171/ENSRNOG00000057867/ENSRNOG00000056996/ENSRNOG00000025787/ENSRNOG00000007046/ENSRNOG00000003013/ENSRNOG00000014584/ENSRNOG00000060693/ENSRNOG00000018310/ENSRNOG00000052688/ENSRNOG00000020118/ENSRNOG00000054475/ENSRNOG00000068261/ENSRNOG00000015137/ENSRNOG00000008334/ENSRNOG00000047436/ENSRNOG00000020891/ENSRNOG00000009032/ENSRNOG00000019474/ENSRNOG00000017473/ENSRNOG00000026964/ENSRNOG00000008492/ENSRNOG00000012964/ENSRNOG00000024917/ENSRNOG00000070409/ENSRNOG00000042259/ENSRNOG00000050658/ENSRNOG00000012761/ENSRNOG00000048363/ENSRNOG00000026296/ENSRNOG00000013734/ENSRNOG00000023404/ENSRNOG00000048818/ENSRNOG00000056537/ENSRNOG00000057862/ENSRNOG00000020450/ENSRNOG00000012697/ENSRNOG00000009372/ENSRNOG00000005451/ENSRNOG00000049596/ENSRNOG00000067604/ENSRNOG00000025473/ENSRNOG00000025539/ENSRNOG00000007568/ENSRNOG00000032378/ENSRNOG00000011144/ENSRNOG00000032311/ENSRNOG00000024523	214,304,961,064,318	1,24E+08	0.00054739
GOCC	GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	109	ENSRNOG00000011803/ENSRNOG00000033099/ENSRNOG00000029012/ENSRNOG00000063400/ENSRNOG00000011208/ENSRNOG00000006174/ENSRNOG00000057848/ENSRNOG00000045816/ENSRNOG00000065255/ENSRNOG00000014686/ENSRNOG00000016429/ENSRNOG00000014290/ENSRNOG00000007090/ENSRNOG00000005550/ENSRNOG00000042478/ENSRNOG00000022635/ENSRNOG00000014006/ENSRNOG00000032576/ENSRNOG00000055499/ENSRNOG00000002349/ENSRNOG00000003800/ENSRNOG00000064362/ENSRNOG00000014248/ENSRNOG00000010406/ENSRNOG00000003288/ENSRNOG00000008766/ENSRNOG00000004067/ENSRNOG00000043085/ENSRNOG00000026466/ENSRNOG00000002336/ENSRNOG00000005723/ENSRNOG00000013389/ENSRNOG00000016877/ENSRNOG00000001873/ENSRNOG00000009029	161,536,183,942,295	0.013678026	0.00055709
GOCC	GOCC_POSTSYNAPTIC_MEMBRANE	GOCC_POSTSYNAPTIC_MEMBRANE	255	ENSRNOG00000011803/ENSRNOG00000033099/ENSRNOG00000010744/ENSRNOG00000000368/ENSRNOG00000029012/ENSRNOG00000063400/ENSRNOG00000001575/ENSRNOG00000039544/ENSRNOG00000016062/ENSRNOG00000011208/ENSRNOG00000009726/ENSRNOG00000004013/ENSRNOG00000006174/ENSRNOG00000010853/ENSRNOG00000057848/ENSRNOG00000005662/ENSRNOG00000002327/ENSRNOG00000014862/ENSRNOG00000045816/ENSRNOG00000060599/ENSRNOG00000006957/ENSRNOG00000065255/ENSRNOG00000014686/ENSRNOG00000016429/ENSRNOG00000009253/ENSRNOG00000046366/ENSRNOG00000014290/ENSRNOG00000019486/ENSRNOG00000008992/ENSRNOG00000005985/ENSRNOG00000018674/ENSRNOG00000049792/ENSRNOG00000007090/ENSRNOG00000005550/ENSRNOG00000003777/ENSRNOG00000042478/ENSRNOG00000022635/ENSRNOG00000030910/ENSRNOG00000048449/ENSRNOG00000014006/ENSRNOG00000032576/ENSRNOG00000055499/ENSRNOG00000049959/ENSRNOG00000007682/ENSRNOG00000002349/ENSRNOG00000003800/ENSRNOG00000064362/ENSRNOG00000014248/ENSRNOG00000010406/ENSRNOG00000003288/ENSRNOG00000008766/ENSRNOG00000008479/ENSRNOG00000004067/ENSRNOG00000009522/ENSRNOG00000043085/ENSRNOG00000026466/ENSRNOG00000002336/ENSRNOG00000001679/ENSRNOG00000006784/ENSRNOG00000005723/ENSRNOG00000013389/ENSRNOG00000016877/ENSRNOG00000001873/ENSRNOG00000013610/ENSRNOG00000009029/ENSRNOG00000061182/ENSRNOG00000028832/ENSRNOG00000027341/ENSRNOG00000067416/ENSRNOG00000062002/ENSRNOG00000011076/ENSRNOG00000008167/ENSRNOG00000023688/ENSRNOG00000020310/ENSRNOG00000013101/ENSRNOG00000055401	136,915,494,459,017	0.04341137	0.00057066
GOBP	GOBP_B_CELL_ACTIVATION	GOBP_B_CELL_ACTIVATION	204	ENSRNOG00000010947/ENSRNOG00000020161/ENSRNOG00000009910/ENSRNOG00000021268/ENSRNOG00000002750/ENSRNOG00000012999/ENSRNOG00000048161/ENSRNOG00000000692/ENSRNOG00000016885/ENSRNOG00000012061/ENSRNOG00000046327/ENSRNOG00000016995/ENSRNOG00000018582/ENSRNOG00000013321/ENSRNOG00000032247/ENSRNOG00000051015/ENSRNOG00000026085/ENSRNOG00000013805/ENSRNOG00000016360/ENSRNOG00000046799/ENSRNOG00000024000/ENSRNOG00000021856/ENSRNOG00000021510/ENSRNOG00000001250/ENSRNOG00000024277/ENSRNOG00000010283/ENSRNOG00000060694/ENSRNOG00000006901/ENSRNOG00000012228/ENSRNOG00000005917/ENSRNOG00000021420/ENSRNOG00000039980/ENSRNOG00000011096/ENSRNOG00000020652/ENSRNOG00000000485/ENSRNOG00000009427/ENSRNOG00000057058/ENSRNOG00000059984/ENSRNOG00000005067/ENSRNOG00000049517/ENSRNOG00000002365/ENSRNOG00000010278/ENSRNOG00000017869/ENSRNOG00000013967/ENSRNOG00000012865/ENSRNOG00000004409/ENSRNOG00000007237/ENSRNOG00000008180/ENSRNOG00000008736/ENSRNOG00000021144/ENSRNOG00000016346/ENSRNOG00000000655/ENSRNOG00000011500/ENSRNOG00000046452/ENSRNOG00000058646/ENSRNOG00000012965/ENSRNOG00000009884/ENSRNOG00000008133/ENSRNOG00000026989/ENSRNOG00000023109/ENSRNOG00000014464/ENSRNOG00000052407/ENSRNOG00000017020/ENSRNOG00000014294/ENSRNOG00000067317/ENSRNOG00000001452/ENSRNOG00000020845/ENSRNOG00000014333/ENSRNOG00000010522/ENSRNOG00000014605/ENSRNOG00000017783/ENSRNOG00000018735/ENSRNOG00000010966/ENSRNOG00000002950/ENSRNOG00000030930/ENSRNOG00000014171/ENSRNOG00000011054/ENSRNOG00000036829/ENSRNOG00000016595/ENSRNOG00000010266	-163,613,644,908,591	0.000901948	0.00057162
