category	ID	term	count	gene	logFC	adj_pval	zscore	magma_score
HPO	HP_LARGE_FACE	HP_LARGE_FACE	264	ENSRNOG00000016187/ENSRNOG00000011348/ENSRNOG00000011829/ENSRNOG00000009867/ENSRNOG00000025181/ENSRNOG00000043192/ENSRNOG00000060542/ENSRNOG00000047194/ENSRNOG00000013969/ENSRNOG00000008244/ENSRNOG00000046276/ENSRNOG00000009208/ENSRNOG00000039994/ENSRNOG00000061367/ENSRNOG00000042118/ENSRNOG00000017035/ENSRNOG00000002708/ENSRNOG00000014027/ENSRNOG00000021614/ENSRNOG00000022391/ENSRNOG00000021718/ENSRNOG00000059715/ENSRNOG00000056458/ENSRNOG00000012705/ENSRNOG00000010572/ENSRNOG00000029966/ENSRNOG00000052704/ENSRNOG00000000648/ENSRNOG00000014698/ENSRNOG00000024525/ENSRNOG00000015971/ENSRNOG00000011208/ENSRNOG00000061346/ENSRNOG00000038686/ENSRNOG00000027658/ENSRNOG00000003848/ENSRNOG00000017960/ENSRNOG00000047296/ENSRNOG00000003777/ENSRNOG00000069406/ENSRNOG00000028523/ENSRNOG00000010488/ENSRNOG00000025418/ENSRNOG00000006957/ENSRNOG00000053234/ENSRNOG00000016172/ENSRNOG00000019039/ENSRNOG00000006792/ENSRNOG00000007404/ENSRNOG00000034240/ENSRNOG00000002291/ENSRNOG00000026857/ENSRNOG00000003875/ENSRNOG00000045918/ENSRNOG00000004591/ENSRNOG00000006285/ENSRNOG00000024085/ENSRNOG00000011553/ENSRNOG00000024503/ENSRNOG00000002462/ENSRNOG00000004574/ENSRNOG00000042536/ENSRNOG00000012472/ENSRNOG00000000108/ENSRNOG00000001867/ENSRNOG00000020372/ENSRNOG00000020557/ENSRNOG00000010090/ENSRNOG00000033556/ENSRNOG00000016054/ENSRNOG00000006966/ENSRNOG00000002615/ENSRNOG00000031136/ENSRNOG00000010188/ENSRNOG00000011908/ENSRNOG00000057464/ENSRNOG00000007688/ENSRNOG00000006037/ENSRNOG00000015756/ENSRNOG00000009968/ENSRNOG00000007461/ENSRNOG00000000043/ENSRNOG00000008996/ENSRNOG00000057616/ENSRNOG00000013322/ENSRNOG00000030017/ENSRNOG00000004925/ENSRNOG00000012852/ENSRNOG00000016396/ENSRNOG00000030101/ENSRNOG00000069271/ENSRNOG00000002565/ENSRNOG00000011619/ENSRNOG00000017441/ENSRNOG00000030759/ENSRNOG00000013933/ENSRNOG00000053932/ENSRNOG00000005076/ENSRNOG00000004159/ENSRNOG00000012942	1.591411326	0.010276869	0	0.00013041
GOBP	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	27	ENSRNOG00000046452/ENSRNOG00000000454/ENSRNOG00000015158/ENSRNOG00000000457/ENSRNOG00000055229/ENSRNOG00000019708/ENSRNOG00000066773/ENSRNOG00000006963/ENSRNOG00000018566/ENSRNOG00000020206/ENSRNOG00000021157/ENSRNOG00000033215/ENSRNOG00000026762/ENSRNOG00000032708/ENSRNOG00000049491/ENSRNOG00000018735	-1.961376392	0.010395512	0	0.00021309
GOBP	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	32	ENSRNOG00000046452/ENSRNOG00000000454/ENSRNOG00000015158/ENSRNOG00000000457/ENSRNOG00000055229/ENSRNOG00000019708/ENSRNOG00000066773/ENSRNOG00000019041/ENSRNOG00000006963/ENSRNOG00000018566/ENSRNOG00000020206/ENSRNOG00000016451/ENSRNOG00000021157/ENSRNOG00000033215/ENSRNOG00000026762/ENSRNOG00000032708/ENSRNOG00000049491/ENSRNOG00000018735	-1.901747322	0.017786169	0	0.00028002
GOCC	GOCC_MHC_PROTEIN_COMPLEX	GOCC_MHC_PROTEIN_COMPLEX	12	ENSRNOG00000066773/ENSRNOG00000033215/ENSRNOG00000026762/ENSRNOG00000032708/ENSRNOG00000049491/ENSRNOG00000018735	-1.821581794	0.038802098	0	0.00051729
GOCC	GOCC_9PLUS2_MOTILE_CILIUM	GOCC_9PLUS2_MOTILE_CILIUM	123	ENSRNOG00000054475/ENSRNOG00000014584/ENSRNOG00000018631/ENSRNOG00000011440/ENSRNOG00000047436/ENSRNOG00000056996/ENSRNOG00000057867/ENSRNOG00000006114/ENSRNOG00000052688/ENSRNOG00000058275/ENSRNOG00000048363/ENSRNOG00000048818/ENSRNOG00000008492/ENSRNOG00000004171/ENSRNOG00000012964/ENSRNOG00000013734/ENSRNOG00000025787/ENSRNOG00000049596/ENSRNOG00000070409/ENSRNOG00000017473/ENSRNOG00000032463/ENSRNOG00000020891/ENSRNOG00000068261/ENSRNOG00000018310/ENSRNOG00000060693/ENSRNOG00000007568/ENSRNOG00000003013/ENSRNOG00000026296/ENSRNOG00000057862/ENSRNOG00000024523/ENSRNOG00000020118/ENSRNOG00000042259/ENSRNOG00000024917/ENSRNOG00000027212/ENSRNOG00000009032/ENSRNOG00000015137/ENSRNOG00000005451/ENSRNOG00000024957/ENSRNOG00000050658/ENSRNOG00000011144/ENSRNOG00000006545/ENSRNOG00000008334/ENSRNOG00000012697/ENSRNOG00000056537/ENSRNOG00000010934/ENSRNOG00000023404/ENSRNOG00000026964/ENSRNOG00000018792/ENSRNOG00000053015/ENSRNOG00000013956	2.194940851	8.31E-07	0	0.00054739
GOBP	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	382	ENSRNOG00000015430/ENSRNOG00000020247/ENSRNOG00000026455/ENSRNOG00000064933/ENSRNOG00000046949/ENSRNOG00000002653/ENSRNOG00000019207/ENSRNOG00000003442/ENSRNOG00000015480/ENSRNOG00000018289/ENSRNOG00000007922/ENSRNOG00000008337/ENSRNOG00000010816/ENSRNOG00000007744/ENSRNOG00000017927/ENSRNOG00000010868/ENSRNOG00000032884/ENSRNOG00000003841/ENSRNOG00000020009/ENSRNOG00000017484/ENSRNOG00000033134/ENSRNOG00000063505/ENSRNOG00000029165/ENSRNOG00000017854/ENSRNOG00000038784/ENSRNOG00000028629/ENSRNOG00000016385/ENSRNOG00000028356/ENSRNOG00000060407/ENSRNOG00000006595/ENSRNOG00000012439/ENSRNOG00000049281/ENSRNOG00000017002/ENSRNOG00000020138/ENSRNOG00000004060/ENSRNOG00000015262/ENSRNOG00000005446/ENSRNOG00000021441/ENSRNOG00000015385/ENSRNOG00000011589/ENSRNOG00000056786/ENSRNOG00000054274/ENSRNOG00000045791/ENSRNOG00000048676/ENSRNOG00000052620/ENSRNOG00000016949/ENSRNOG00000021128/ENSRNOG00000052296/ENSRNOG00000062887/ENSRNOG00000020277/ENSRNOG00000016770/ENSRNOG00000009615/ENSRNOG00000001302/ENSRNOG00000003134/ENSRNOG00000021102/ENSRNOG00000021218/ENSRNOG00000011550/ENSRNOG00000029682/ENSRNOG00000048782/ENSRNOG00000071002/ENSRNOG00000012609/ENSRNOG00000057315/ENSRNOG00000068374/ENSRNOG00000009495/ENSRNOG00000004554/ENSRNOG00000002636/ENSRNOG00000012134/ENSRNOG00000009872/ENSRNOG00000020653/ENSRNOG00000010094/ENSRNOG00000018385/ENSRNOG00000018018/ENSRNOG00000008176/ENSRNOG00000018526/ENSRNOG00000000774/ENSRNOG00000027839/ENSRNOG00000020714/ENSRNOG00000018790/ENSRNOG00000020598/ENSRNOG00000005906/ENSRNOG00000009260/ENSRNOG00000011171/ENSRNOG00000013578/ENSRNOG00000036682/ENSRNOG00000001452/ENSRNOG00000006818/ENSRNOG00000053735/ENSRNOG00000030019/ENSRNOG00000010685/ENSRNOG00000038746/ENSRNOG00000007290/ENSRNOG00000001259/ENSRNOG00000047102/ENSRNOG00000012448/ENSRNOG00000019719	-1.416364592	0.019225829	0	0.00086726
GOBP	GOBP_MALE_GAMETE_GENERATION	GOBP_MALE_GAMETE_GENERATION	454	ENSRNOG00000054475/ENSRNOG00000014584/ENSRNOG00000002793/ENSRNOG00000013807/ENSRNOG00000019934/ENSRNOG00000015250/ENSRNOG00000047436/ENSRNOG00000007942/ENSRNOG00000010241/ENSRNOG00000032085/ENSRNOG00000056996/ENSRNOG00000013111/ENSRNOG00000057867/ENSRNOG00000006114/ENSRNOG00000005480/ENSRNOG00000022711/ENSRNOG00000002073/ENSRNOG00000015101/ENSRNOG00000058275/ENSRNOG00000025286/ENSRNOG00000045585/ENSRNOG00000008595/ENSRNOG00000011932/ENSRNOG00000010263/ENSRNOG00000048818/ENSRNOG00000059348/ENSRNOG00000012964/ENSRNOG00000032183/ENSRNOG00000012318/ENSRNOG00000025787/ENSRNOG00000026217/ENSRNOG00000034089/ENSRNOG00000049596/ENSRNOG00000070409/ENSRNOG00000017838/ENSRNOG00000028872/ENSRNOG00000026226/ENSRNOG00000020497/ENSRNOG00000026171/ENSRNOG00000008059/ENSRNOG00000009061/ENSRNOG00000068261/ENSRNOG00000029012/ENSRNOG00000017282/ENSRNOG00000061040/ENSRNOG00000058681/ENSRNOG00000060693/ENSRNOG00000032539/ENSRNOG00000009000/ENSRNOG00000007568/ENSRNOG00000024494/ENSRNOG00000023807/ENSRNOG00000002976/ENSRNOG00000068869/ENSRNOG00000025596/ENSRNOG00000014478/ENSRNOG00000060401/ENSRNOG00000026649/ENSRNOG00000057945/ENSRNOG00000057862/ENSRNOG00000048506/ENSRNOG00000025378/ENSRNOG00000009149/ENSRNOG00000015813/ENSRNOG00000016029/ENSRNOG00000021657/ENSRNOG00000020118/ENSRNOG00000042259/ENSRNOG00000060100/ENSRNOG00000015137/ENSRNOG00000017399/ENSRNOG00000008775/ENSRNOG00000001996/ENSRNOG00000060340/ENSRNOG00000016835/ENSRNOG00000039315/ENSRNOG00000016812/ENSRNOG00000007960/ENSRNOG00000039234/ENSRNOG00000025247/ENSRNOG00000014900/ENSRNOG00000021669/ENSRNOG00000002175/ENSRNOG00000012358/ENSRNOG00000006792/ENSRNOG00000017462/ENSRNOG00000006545/ENSRNOG00000009308/ENSRNOG00000006699/ENSRNOG00000010934/ENSRNOG00000011785/ENSRNOG00000005727/ENSRNOG00000045846/ENSRNOG00000014739/ENSRNOG00000016645/ENSRNOG00000010620/ENSRNOG00000042041/ENSRNOG00000063175/ENSRNOG00000026596/ENSRNOG00000007100/ENSRNOG00000032472/ENSRNOG00000004075/ENSRNOG00000005037/ENSRNOG00000051592/ENSRNOG00000000809/ENSRNOG00000039241/ENSRNOG00000032101/ENSRNOG00000019992/ENSRNOG00000015143/ENSRNOG00000050562/ENSRNOG00000005012/ENSRNOG00000014448/ENSRNOG00000003275/ENSRNOG00000001451/ENSRNOG00000024521/ENSRNOG00000048297/ENSRNOG00000042781/ENSRNOG00000000808/ENSRNOG00000000565/ENSRNOG00000054963/ENSRNOG00000053023/ENSRNOG00000023794/ENSRNOG00000020863/ENSRNOG00000021493/ENSRNOG00000069905/ENSRNOG00000016391/ENSRNOG00000025672/ENSRNOG00000001843/ENSRNOG00000021800/ENSRNOG00000015825/ENSRNOG00000015756/ENSRNOG00000023698/ENSRNOG00000065724/ENSRNOG00000014599/ENSRNOG00000016134/ENSRNOG00000061484/ENSRNOG00000025473/ENSRNOG00000010311/ENSRNOG00000056462/ENSRNOG00000027860/ENSRNOG00000001924/ENSRNOG00000020450/ENSRNOG00000068894/ENSRNOG00000066988/ENSRNOG00000026023/ENSRNOG00000006661/ENSRNOG00000051965/ENSRNOG00000052199/ENSRNOG00000011374/ENSRNOG00000014711/ENSRNOG00000046946/ENSRNOG00000004575/ENSRNOG00000010150/ENSRNOG00000061690/ENSRNOG00000010141/ENSRNOG00000013320/ENSRNOG00000037567/ENSRNOG00000008891/ENSRNOG00000001294	1.613958171	0.000453874	0	0.00089846
GOMF	GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING	GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING	16	ENSRNOG00000011329/ENSRNOG00000000454/ENSRNOG00000010984/ENSRNOG00000066773/ENSRNOG00000033215/ENSRNOG00000026762/ENSRNOG00000032708/ENSRNOG00000049491/ENSRNOG00000018735	-1.981391572	0.028686575	0	0.0012551
GOBP	GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS	GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS	332	ENSRNOG00000012026/ENSRNOG00000016575/ENSRNOG00000057322/ENSRNOG00000010358/ENSRNOG00000007949/ENSRNOG00000000527/ENSRNOG00000010947/ENSRNOG00000031827/ENSRNOG00000020417/ENSRNOG00000013213/ENSRNOG00000001739/ENSRNOG00000056836/ENSRNOG00000023383/ENSRNOG00000008766/ENSRNOG00000006393/ENSRNOG00000001420/ENSRNOG00000023816/ENSRNOG00000001126/ENSRNOG00000009131/ENSRNOG00000039417/ENSRNOG00000018515/ENSRNOG00000033697/ENSRNOG00000009705/ENSRNOG00000016010/ENSRNOG00000003026/ENSRNOG00000004395/ENSRNOG00000000569/ENSRNOG00000028504/ENSRNOG00000010747/ENSRNOG00000047035/ENSRNOG00000003951/ENSRNOG00000039593/ENSRNOG00000000123/ENSRNOG00000032917/ENSRNOG00000062473/ENSRNOG00000049179/ENSRNOG00000019891/ENSRNOG00000000851/ENSRNOG00000017912/ENSRNOG00000011483/ENSRNOG00000004828/ENSRNOG00000011994/ENSRNOG00000008134/ENSRNOG00000019390/ENSRNOG00000028629/ENSRNOG00000039698/ENSRNOG00000012439/ENSRNOG00000003170/ENSRNOG00000049281/ENSRNOG00000015409/ENSRNOG00000012944/ENSRNOG00000017418/ENSRNOG00000006557/ENSRNOG00000004649/ENSRNOG00000046007/ENSRNOG00000012394/ENSRNOG00000016763/ENSRNOG00000007319/ENSRNOG00000017417/ENSRNOG00000009658/ENSRNOG00000020941/ENSRNOG00000043007/ENSRNOG00000015385/ENSRNOG00000020602/ENSRNOG00000005810/ENSRNOG00000006394/ENSRNOG00000004100/ENSRNOG00000019246/ENSRNOG00000028930/ENSRNOG00000067968/ENSRNOG00000052620/ENSRNOG00000019742/ENSRNOG00000015365/ENSRNOG00000010303/ENSRNOG00000017895/ENSRNOG00000022448/ENSRNOG00000014137/ENSRNOG00000055226/ENSRNOG00000019041/ENSRNOG00000018416/ENSRNOG00000004479/ENSRNOG00000016496/ENSRNOG00000009495/ENSRNOG00000016123/ENSRNOG00000011800/ENSRNOG00000007081/ENSRNOG00000023143/ENSRNOG00000018454/ENSRNOG00000014288/ENSRNOG00000018796/ENSRNOG00000027839/ENSRNOG00000016551/ENSRNOG00000020206/ENSRNOG00000008620/ENSRNOG00000033434/ENSRNOG00000013578/ENSRNOG00000016103/ENSRNOG00000006818/ENSRNOG00000003486/ENSRNOG00000010362/ENSRNOG00000011054/ENSRNOG00000015036/ENSRNOG00000047545/ENSRNOG00000014350/ENSRNOG00000015477/ENSRNOG00000014064/ENSRNOG00000025001/ENSRNOG00000046848/ENSRNOG00000054251/ENSRNOG00000018780/ENSRNOG00000007637/ENSRNOG00000019675	-1.449435395	0.011889528	0	0.0013301
GOBP	GOBP_MOTILE_CILIUM_ASSEMBLY	GOBP_MOTILE_CILIUM_ASSEMBLY	42	ENSRNOG00000054475/ENSRNOG00000011376/ENSRNOG00000011440/ENSRNOG00000059401/ENSRNOG00000056996/ENSRNOG00000057867/ENSRNOG00000006114/ENSRNOG00000021602/ENSRNOG00000058275/ENSRNOG00000008595/ENSRNOG00000059348/ENSRNOG00000025787/ENSRNOG00000026217/ENSRNOG00000049596/ENSRNOG00000010556/ENSRNOG00000059715/ENSRNOG00000009061/ENSRNOG00000015590/ENSRNOG00000007568/ENSRNOG00000022597/ENSRNOG00000038600/ENSRNOG00000007127	2.570130843	4.30E-07	0	0.0015598
