,symbol,baseMean,FoldChange,log2FoldChange,lfcSE,stat,pvalue,padj,description
ENSRNOG00000000001,Arsj,105.511660860455,0.774652593899755,-0.368378640535662,0.188825282081085,-1.9508968104042,0.0510693221620813,0.998987910628626,arylsulfatase family, member J
ENSRNOG00000000007,Gad1,6620.90182876098,0.904859759653105,-0.144233882504622,0.169501273721515,-0.850930965519432,0.394807702367595,0.998987910628626,glutamate decarboxylase 1
ENSRNOG00000000008,Alx4,7.07877589646424,0.162917068220997,-2.61779033726181,1.13437040001296,-2.30770331915563,NA,NA,ALX homeobox 4
ENSRNOG00000000009,Tmco5b,4.71537871323847,2.28451327055576,1.19188682307137,0.691449134029301,1.72375199333298,0.0847526244366274,0.998987910628626,transmembrane and coiled-coil domains 5B
ENSRNOG00000000010,Cbln1,220.479996819059,0.96282783474081,-0.0546502450752968,0.683698626304881,-0.0799332380857039,0.936290354228331,0.998987910628626,cerebellin 1 precursor
ENSRNOG00000000012,Tcf15,38.6021629203941,0.800945128324729,-0.320224685968003,0.275671352524768,-1.16161756756801,0.245390842925791,0.998987910628626,transcription factor 15
ENSRNOG00000000017,Steap1,8.04473727344446,0.787972983581858,-0.343781928556779,0.539912377875774,-0.636736519931902,0.524296481283855,0.998987910628626,STEAP family member 1
ENSRNOG00000000024,Hebp1,964.36024728342,0.954999277232366,-0.0664284536067001,0.204491795494738,-0.324846546757468,0.745297214089594,0.998987910628626,heme binding protein 1
ENSRNOG00000000033,Tmcc2,6586.8101814436,0.894425399933881,-0.160966936404012,0.19015765161149,-0.846492029323559,0.397278318502872,0.998987910628626,transmembrane and coiled-coil domain family 2
ENSRNOG00000000034,Nuak2,89.4103423237322,0.912373001892583,-0.132304338517852,0.248947148901839,-0.531455528217437,0.59510315099656,0.998987910628626,NUAK family kinase 2
ENSRNOG00000000036,Klhdc8a,590.385958476807,1.02601729729155,0.037055053075952,0.332808163179497,0.111340577472454,0.911346279253446,0.998987910628626,kelch domain containing 8A
ENSRNOG00000000040,RGD1304622,279.059086934179,1.01140736442905,0.0163641884093375,0.265192174399689,0.0617069053654422,0.950796240765174,0.998987910628626,similar to 6820428L09 protein
ENSRNOG00000000041,Slc26a1,77.9671846180323,0.972622893898969,-0.0400475443083005,0.181018290316499,-0.221234794772837,0.824909618105024,0.998987910628626,solute carrier family 26 member 1
ENSRNOG00000000042,Xpr1,1849.28799943059,1.04777899638584,0.0673344473699375,0.106614161580019,0.631571325722986,0.527667028421814,0.998987910628626,xenotropic and polytropic retrovirus receptor 1
ENSRNOG00000000043,Idua,1296.75372335261,1.12942984247824,0.175594656696203,0.24989334983111,0.70267838986063,0.482256197952619,0.998987910628626,alpha-L-iduronidase
ENSRNOG00000000044,Tmem175,2205.38868467511,1.07183407642775,0.10008158896538,0.105647117340916,0.947319638096927,0.343475926872259,0.998987910628626,transmembrane protein 175
ENSRNOG00000000047,Cd82,640.131010357077,1.13841832339138,0.187030788035651,0.290322296558531,0.64421778916985,0.519434216953563,0.998987910628626,Cd82 molecule
ENSRNOG00000000048,Gak,14008.4415994179,0.910324281961566,-0.13554753129106,0.180007427990774,-0.753010766300198,0.451443444377046,0.998987910628626,cyclin G associated kinase
ENSRNOG00000000054,Abhd8,4542.92035518301,0.794329414807809,-0.332190666168993,0.277471933516601,-1.19720456753554,0.231226830015157,0.998987910628626,abhydrolase domain containing 8
ENSRNOG00000000062,Pcgf3,2272.41866062471,1.04698777401119,0.0662445955863758,0.0976655070763242,0.678280362939258,0.497593947037772,0.998987910628626,polycomb group ring finger 3
ENSRNOG00000000064,Atp5me,1461.66738854627,0.920644606621826,-0.119283749878185,0.147799738121546,-0.807063337149418,0.419629993429527,0.998987910628626,ATP synthase membrane subunit e
ENSRNOG00000000065,Pde6b,5.48295663704725,0.945618433744081,-0.0806699354168027,0.761004885389307,-0.106004490858865,0.915578789074995,0.998987910628626,phosphodiesterase 6B
ENSRNOG00000000066,Fbxo28,1380.54695743988,1.13986114013296,0.188858083474684,0.136547927069952,1.38309008072992,0.166637246777037,0.998987910628626,F-box protein 28
