	symbol	baseMean	FoldChange	log2FoldChange	lfcSE	stat	pvalue	padj	description					
ENSRNOG00000000001	Arsj	118.183.458.671.293	0.962529616131802	-0.0550971631388098	0.133466983410452	-0.412814927938913	0.679742213500633	0.93206665199355	arylsulfatase family	 member J				
ENSRNOG00000000007	Gad1	755.969.602.965.965	0.978012760053815	-0.0320748068609068	0.10075585134383	-0.318341877251887	0.750225621782008	0.951537216342294	glutamate decarboxylase 1					
ENSRNOG00000000008	Alx4	571.015.297.139.351	0.352856022338926	-150.284.846.161.627	0.753225976783562	-199.521.592.183.233	0.0460193352472197	0.462855502263909	ALX homeobox 4					
ENSRNOG00000000009	Tmco5b	488.318.316.497.261	195.878.297.417.239	0.96995756124518	0.404007655297982	240.083.955.966.075	0.0163575066237007	0.371198548259504	transmembrane and coiled-coil domains 5B					
ENSRNOG00000000010	Cbln1	277.583.080.015.391	0.979368539285195	-0.030076242465595	0.363447028950367	-0.0827527536886325	0.934048137303541	0.98777016897538	cerebellin 1 precursor					
ENSRNOG00000000012	Tcf15	405.694.950.164.344	0.889487403212589	-0.168953920481394	0.156896837094701	-107.684.720.488.926	0.281548532543425	0.744727296242654	transcription factor 15					
ENSRNOG00000000017	Steap1	828.470.606.511.253	0.929585397923744	-0.105340688051608	0.319762094306333	-0.32943457003597	0.741827241604012	0.949208053060567	STEAP family member 1					
ENSRNOG00000000021	NA	0.474803342240633	0.923458719073455	-0.114880624333831	143.579.911.573.554	-0.0800116277234083	0.936228008036151	NA	NA					
ENSRNOG00000000024	Hebp1	109.353.684.766.578	104.512.207.279.059	0.0636714624247661	0.114912566486239	0.554086157603927	0.579519883036795	0.900691426923382	heme binding protein 1					
ENSRNOG00000000033	Tmcc2	725.624.213.699.744	0.895629829610717	-0.159025515876409	0.114038009717965	-139.449.571.480.338	0.163167962629031	0.638799257169046	transmembrane and coiled-coil domain family 2					
ENSRNOG00000000034	Nuak2	973.539.165.605.573	0.809970466831332	-0.304058789523118	0.166179434663404	-182.970.167.240.603	0.0672945606962469	0.499247315737682	NUAK family kinase 2					
ENSRNOG00000000036	Klhdc8a	696.722.902.943.433	1.107.401.688.675	0.147178626945907	0.184683835742105	0.796922082295437	0.425496285199542	0.83324587713098	kelch domain containing 8A					
ENSRNOG00000000040	RGD1304622	289.319.213.854.476	0.786374414467887	-0.346711712070491	0.176710006884613	-196.203.779.391.444	0.0497580842836406	0.468119432498722	similar to 6820428L09 protein					
ENSRNOG00000000041	Slc26a1	812.770.429.503.349	0.922167364157443	-0.116899485742765	0.106089260729897	-110.189.744.879.447	0.270506257856131	0.738161297921718	solute carrier family 26 member 1					
ENSRNOG00000000042	Xpr1	203.290.658.577.193	100.843.373.835.463	0.0121162912014681	0.0573674377709318	0.211205026270277	0.832727288823973	0.970001931153161	xenotropic and polytropic retrovirus receptor 1					
ENSRNOG00000000043	Idua	138.409.638.160.102	11.488.177.640.174	0.200149962649003	0.146138292573654	136.959.286.388.355	0.170814028453512	0.643351653513822	alpha-L-iduronidase					
ENSRNOG00000000044	Tmem175	239.493.547.118.783	108.148.314.433.357	0.113011180070235	0.0585507195330164	193.014.161.007.038	0.0535892939772769	0.475795385286623	transmembrane protein 175					
ENSRNOG00000000047	Cd82	689.123.303.198.557	0.868842953432418	-0.202832666731132	0.211509119534821	-0.958978351275016	0.337569651318605	0.780616193722845	Cd82 molecule					
ENSRNOG00000000048	Gak	152.585.059.962.295	0.897128932039133	-0.156612756067772	0.101898819846724	-153.694.376.738.953	0.12430708036222	0.591407507099747	cyclin G associated kinase					
ENSRNOG00000000053	Crp	0.661968038078026	136.369.738.746.151	0.447523537291276	106.781.420.644.496	0.419102438036672	0.675141268977142	NA	C-reactive protein					
