	symbol	baseMean	FoldChange	log2FoldChange	lfcSE	stat	pvalue	padj	description					
ENSRNOG00000000001	Arsj	13.245.649.634.279	119.326.490.068.316	0.254914351900265	0.164032356932671	155.404.919.289.733	0.120172682968264	0.4423808325007	arylsulfatase family	 member J				
ENSRNOG00000000007	Gad1	862.400.876.231.594	10.614.671.928.258	0.086059782002635	0.102464116667224	0.839901663156226	0.400963525049141	0.717287666341887	glutamate decarboxylase 1					
ENSRNOG00000000008	Alx4	40.229.132.809.981	0.770286386451463	-0.376533166615655	0.905753117055004	-0.415712802446573	0.677620171946834	NA	ALX homeobox 4					
ENSRNOG00000000009	Tmco5b	505.685.831.418.293	169.883.744.206.698	0.764547810883587	0.601807025824009	127.042.021.458.083	0.203934986427806	NA	transmembrane and coiled-coil domains 5B					
ENSRNOG00000000010	Cbln1	343.398.561.991.777	100.049.268.681.049	0.000710621775589274	0.242764150257559	0.00292721052443429	0.997664427251751	0.998949641443749	cerebellin 1 precursor					
ENSRNOG00000000012	Tcf15	426.459.050.226.606	0.991409086815227	-0.0124476129167386	0.217752727079062	-0.0571639817499008	0.954414569621937	0.9863397035813	transcription factor 15					
ENSRNOG00000000017	Steap1	850.985.507.929.419	109.147.467.196.072	0.126278652490292	0.475582572920539	0.265524137511637	0.790605717929115	NA	STEAP family member 1					
ENSRNOG00000000024	Hebp1	123.955.082.474.476	114.674.163.638.942	0.1975403853501	0.0915038003800857	215.882.165.035.291	0.0308640061545315	0.247313967927358	heme binding protein 1					
ENSRNOG00000000033	Tmcc2	800.495.267.417.191	0.900703855817215	-0.150875257409788	0.127204006008033	-11.860.888.830.833	0.235587200273573	0.583750297590625	transmembrane and coiled-coil domain family 2					
ENSRNOG00000000034	Nuak2	106.110.061.656.403	0.722991959244896	-0.467948492554704	0.221923161524042	-210.860.592.171.227	0.034978611320066	0.260627715426203	NUAK family kinase 2					
ENSRNOG00000000036	Klhdc8a	818.218.929.533.221	119.729.161.370.398	0.259774579521322	0.104705657313873	248.099.850.748.852	0.0131014921658564	0.171984743382548	kelch domain containing 8A					
ENSRNOG00000000040	RGD1304622	299.540.733.396.882	0.612418334975277	-0.707410619068051	0.170977529363429	-413.744.789.564.939	3,51E+09	0.0111408498856477	similar to 6820428L09 protein					
ENSRNOG00000000041	Slc26a1	847.001.113.188.504	0.880854618568634	-0.183024166976143	0.164679060461249	-11.113.991.448.792	0.26639658025058	0.610795398815313	solute carrier family 26 member 1					
ENSRNOG00000000042	Xpr1	223.798.128.865.347	0.975481513939849	-0.0358135618788008	0.0697546195010009	-0.513422080644951	0.607656103227771	0.846351535647244	xenotropic and polytropic retrovirus receptor 1					
ENSRNOG00000000043	Idua	147.896.983.000.604	117.433.598.342.918	0.231845229810684	0.138237550793952	167.715.087.889.727	0.0935129817027333	0.39847855707687	alpha-L-iduronidase					
ENSRNOG00000000044	Tmem175	260.488.323.401.349	109.593.349.779.905	0.132160256960489	0.077249314269912	171.082.757.445.219	0.0871129476640613	0.386099643188133	transmembrane protein 175					
ENSRNOG00000000047	Cd82	742.303.288.923.043	0.665345030581376	-0.587825416198186	0.235563646572004	-249.539.954.382.777	0.0125815374308951	0.168453440416553	Cd82 molecule					
ENSRNOG00000000048	Gak	166.447.176.668.032	0.887914250568711	-0.171507738416357	0.10131914558416	-16.927.475.792.213	0.0905035245665906	0.393249047517171	cyclin G associated kinase					
ENSRNOG00000000053	Crp	103.373.486.249.029	106.494.336.793.145	0.0907767121630148	131.479.785.398.046	0.0690423336851323	0.944955922467809	NA	C-reactive protein					
ENSRNOG00000000054	Abhd8	543.552.206.783.723	100.481.591.777.096	0.00693122394739921	0.117143090455455	0.0591688670706095	0.952817606660391	0.985643036162626	abhydrolase domain containing 8					
