,symbol,baseMean,FoldChange,log2FoldChange,lfcSE,stat,pvalue,padj,description
ENSRNOG00000000001,Arsj,132.45649634279,1.19326490068316,0.254914351900265,0.164032356932671,1.55404919289733,0.120172682968264,0.4423808325007,arylsulfatase family, member J
ENSRNOG00000000007,Gad1,8624.00876231594,1.0614671928258,0.086059782002635,0.102464116667224,0.839901663156226,0.400963525049141,0.717287666341887,glutamate decarboxylase 1
ENSRNOG00000000008,Alx4,4.0229132809981,0.770286386451463,-0.376533166615655,0.905753117055004,-0.415712802446573,0.677620171946834,NA,ALX homeobox 4
ENSRNOG00000000009,Tmco5b,5.05685831418293,1.69883744206698,0.764547810883587,0.601807025824009,1.27042021458083,0.203934986427806,NA,transmembrane and coiled-coil domains 5B
ENSRNOG00000000010,Cbln1,343.398561991777,1.00049268681049,0.000710621775589274,0.242764150257559,0.00292721052443429,0.997664427251751,0.998949641443749,cerebellin 1 precursor
ENSRNOG00000000012,Tcf15,42.6459050226606,0.991409086815227,-0.0124476129167386,0.217752727079062,-0.0571639817499008,0.954414569621937,0.9863397035813,transcription factor 15
ENSRNOG00000000017,Steap1,8.50985507929419,1.09147467196072,0.126278652490292,0.475582572920539,0.265524137511637,0.790605717929115,NA,STEAP family member 1
ENSRNOG00000000024,Hebp1,1239.55082474476,1.14674163638942,0.1975403853501,0.0915038003800857,2.15882165035291,0.0308640061545315,0.247313967927358,heme binding protein 1
ENSRNOG00000000033,Tmcc2,8004.95267417191,0.900703855817215,-0.150875257409788,0.127204006008033,-1.1860888830833,0.235587200273573,0.583750297590625,transmembrane and coiled-coil domain family 2
ENSRNOG00000000034,Nuak2,106.110061656403,0.722991959244896,-0.467948492554704,0.221923161524042,-2.10860592171227,0.034978611320066,0.260627715426203,NUAK family kinase 2
ENSRNOG00000000036,Klhdc8a,818.218929533221,1.19729161370398,0.259774579521322,0.104705657313873,2.48099850748852,0.0131014921658564,0.171984743382548,kelch domain containing 8A
ENSRNOG00000000040,RGD1304622,299.540733396882,0.612418334975277,-0.707410619068051,0.170977529363429,-4.13744789564939,3.51190163831889e-05,0.0111408498856477,similar to 6820428L09 protein
ENSRNOG00000000041,Slc26a1,84.7001113188504,0.880854618568634,-0.183024166976143,0.164679060461249,-1.1113991448792,0.26639658025058,0.610795398815313,solute carrier family 26 member 1
ENSRNOG00000000042,Xpr1,2237.98128865347,0.975481513939849,-0.0358135618788008,0.0697546195010009,-0.513422080644951,0.607656103227771,0.846351535647244,xenotropic and polytropic retrovirus receptor 1
ENSRNOG00000000043,Idua,1478.96983000604,1.17433598342918,0.231845229810684,0.138237550793952,1.67715087889727,0.0935129817027333,0.39847855707687,alpha-L-iduronidase
ENSRNOG00000000044,Tmem175,2604.88323401349,1.09593349779905,0.132160256960489,0.077249314269912,1.71082757445219,0.0871129476640613,0.386099643188133,transmembrane protein 175
ENSRNOG00000000047,Cd82,742.303288923043,0.665345030581376,-0.587825416198186,0.235563646572004,-2.49539954382777,0.0125815374308951,0.168453440416553,Cd82 molecule
ENSRNOG00000000048,Gak,16644.7176668032,0.887914250568711,-0.171507738416357,0.10131914558416,-1.6927475792213,0.0905035245665906,0.393249047517171,cyclin G associated kinase
ENSRNOG00000000053,Crp,1.03373486249029,1.06494336793145,0.0907767121630148,1.31479785398046,0.0690423336851323,0.944955922467809,NA,C-reactive protein
ENSRNOG00000000054,Abhd8,5435.52206783723,1.00481591777096,0.00693122394739921,0.117143090455455,0.0591688670706095,0.952817606660391,0.985643036162626,abhydrolase domain containing 8
ENSRNOG00000000062,Pcgf3,2940.07623644772,1.01594277795641,0.0228191459256613,0.0606303333623447,0.376365173341327,0.706645433488113,0.89139232730872,polycomb group ring finger 3
ENSRNOG00000000064,Atp5me,1738.82726235056,0.971011721807625,-0.0424393832885607,0.114005840790887,-0.372256219454619,0.709702091790067,0.89275909419976,ATP synthase membrane subunit e
